Rk,Team,Overall,Conf,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
18,Atlanta Hawks,35-47,East,82,242.7,34.9,78.5,0.444,4.9,13.9,0.352,30,64.5,0.464,19.4,24.5,0.793,11.4,31.2,42.6,20.5,7.5,5.8,16.7,21.7,94.1
22,Boston Celtics*,44-38,East,82,241.8,32.9,79.4,0.415,8.8,26.3,0.334,24.2,53.1,0.455,18,24.3,0.742,10.4,30.1,40.5,19.2,8.8,3.7,14,21.4,92.7
16,Chicago Bulls,30-52,East,82,243,36.5,81.9,0.445,4.3,12.2,0.35,32.2,69.7,0.462,17.7,24.6,0.722,12,31,43,21.7,7.4,5.6,16.9,24.7,95
25,Cleveland Cavaliers,17-65,East,82,241.8,34.8,82.3,0.422,3.6,10.9,0.327,31.2,71.3,0.437,18.3,24.5,0.747,13.6,31,44.6,20.9,7.8,6.4,18.3,22.7,91.4
1,Dallas Mavericks*,60-22,West,82,241.2,38.5,85.1,0.453,7.8,20.3,0.381,30.8,64.8,0.475,18.1,21.9,0.829,11.1,31,42.1,22.4,8.1,5.5,11.6,21.1,103
29,Denver Nuggets,17-65,West,82,240.6,32.8,79.8,0.411,2.8,10,0.278,30,69.8,0.43,15.8,22.6,0.699,13.6,28.8,42.4,21.2,8.7,5.1,18.5,25.1,84.2
26,Detroit Pistons*,50-32,East,82,242.7,32.9,76.5,0.43,6.5,18.1,0.358,26.4,58.4,0.452,19,24.6,0.771,10.8,29.8,40.6,19.8,6.8,5.7,13.5,21.3,91.4
2,Golden State Warriors,38-44,West,82,240.9,37.3,84.6,0.441,5.2,15.1,0.344,32.1,69.6,0.462,22.6,29,0.778,15.7,31,46.7,20.9,7.2,6.2,15.8,21.8,102.4
21,Houston Rockets,43-39,West,82,243,34.6,78.8,0.44,5.4,15.5,0.346,29.3,63.3,0.462,19.1,24.9,0.768,12.5,31.3,43.8,18.4,7.2,6,15.6,19.5,93.8
10,Indiana Pacers*,48-34,East,82,242.7,35.5,80.6,0.441,4.6,13.6,0.339,30.9,66.9,0.461,21.2,27.7,0.766,12.2,32,44.2,23.3,8.5,5.4,14.8,22.1,96.8
20,Los Angeles Clippers,27-55,West,82,240.9,34.6,79.1,0.437,4.8,14.4,0.331,29.8,64.8,0.46,19.9,26.5,0.75,12.3,30,42.3,19.6,7,5.6,15.7,21.8,93.8
4,Los Angeles Lakers*,50-32,West,82,243,37.7,83.6,0.451,5.9,16.7,0.356,31.8,66.9,0.475,19,26,0.734,13.1,31.1,44.3,23.3,7.8,5.7,14.5,22.9,100.4
8,Memphis Grizzlies,28-54,West,82,243,37.2,82.2,0.452,5.7,15.6,0.365,31.5,66.6,0.473,17.4,23.6,0.739,11.5,30.1,41.6,23.1,7.9,6.1,15.4,20.5,97.5
28,Miami Heat,25-57,East,82,241.8,32.8,79.5,0.412,4.2,13.4,0.316,28.5,66.1,0.432,15.8,20.6,0.765,11.6,30,41.6,18.3,7.2,4,14.2,22.6,85.6
5,Milwaukee Bucks*,42-40,East,82,242.7,37.1,81.3,0.457,7.1,18.6,0.383,30,62.7,0.478,18.1,23.3,0.776,10.7,28.9,39.5,22.2,7.6,4.2,12.7,22.2,99.5
7,Minnesota Timberwolves*,51-31,West,82,241.5,38.7,83,0.466,3.6,9.8,0.368,35.1,73.2,0.479,17.1,22.3,0.77,11.7,31.9,43.6,25.2,6.7,5.3,13.7,20.8,98.1
14,New Jersey Nets*,49-33,East,82,240.9,35.4,80.3,0.441,4.2,12.7,0.332,31.2,67.6,0.462,20.3,26.8,0.757,12.1,30.8,42.9,23,8.7,4.6,14.8,21.6,95.4
19,New Orleans Hornets*,47-35,West,82,242.7,35.5,81.6,0.435,4.9,13.1,0.376,30.6,68.5,0.447,17.9,23.3,0.768,13.4,30.2,43.6,22,8,4.8,14.8,21.6,93.9
11,New York Knicks,37-45,East,82,242.1,36.2,82,0.441,7.4,19.3,0.383,28.8,62.7,0.459,16.1,19.8,0.815,10.3,29,39.2,22,7.1,3.1,14,23,95.9
6,Orlando Magic*,42-40,East,82,241.5,35.9,82.5,0.436,6.9,19.4,0.357,29,63.1,0.46,19.7,25.4,0.777,11.7,29.2,40.9,20.4,8.5,3.7,14.4,23,98.5
9,Philadelphia 76ers*,48-34,East,82,242.1,36.3,81,0.448,3,9.6,0.311,33.3,71.4,0.466,21.3,27.5,0.775,12.7,29.5,42.2,21.6,10.3,3.5,14.8,22,96.8
13,Phoenix Suns*,44-38,West,82,241.5,36.6,82.6,0.443,4.8,14,0.343,31.8,68.6,0.464,17.4,23.5,0.742,12.8,29.8,42.5,21,8.1,4.9,14.7,22,95.5
15,Portland Trail Blazers*,50-32,West,82,242.1,36.4,79.2,0.46,4.6,14,0.33,31.8,65.1,0.488,17.7,23.7,0.745,12.1,29,41.1,22.7,8.8,3.9,15.2,19.9,95.2
3,Sacramento Kings*,59-23,West,82,241.8,39.5,85.2,0.464,6,15.7,0.381,33.5,69.5,0.482,16.7,22.3,0.746,11,33.5,44.5,24.8,9,5.6,14.5,20.3,101.7
12,San Antonio Spurs*,60-22,West,82,241.8,35.5,76.8,0.462,5.5,15.5,0.354,30,61.3,0.489,19.4,26.8,0.725,11.5,31.2,42.6,20,7.7,6.5,15.8,20.4,95.8
23,Seattle SuperSonics,40-42,West,82,242.1,35.2,80.5,0.437,5.6,15.7,0.353,29.6,64.7,0.458,16.2,21.7,0.744,11.7,29.1,40.8,21.6,8.3,3.6,13.2,20.9,92.1
27,Toronto Raptors,24-58,East,82,241.5,34.7,81.3,0.427,5,14.5,0.343,29.7,66.7,0.446,16.5,22.9,0.718,12.5,28.7,41.2,19.3,7.4,4.8,14.4,21.5,90.9
